obec_kod;obec;okres_kod;okres;kraj_kod;kraj;vymera;krajina;krajina_kod;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE;latitude;longitude
509957;Oravský Podzámok;503;Dolný Kubín;5;Žilinský;35247684;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Dolný Kubín;SK0313;Oravský Podzámok;SK0313509957;49.27370070000001;19.35212745914509
543446;Ordzovany;704;Levoča;7;Prešovský;12079127;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoča;SK0414;Ordzovany;SK0414543446;49.04639315;20.78507054003887
522830;Orechová;809;Sobrance;8;Košický;3395791;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Sobrance;SK0429;Orechová;SK0429522830;48.7044045;22.2262685
501859;Orechová Potôň;201;Dunajská Streda;2;Trnavský;21068777;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Dunajská Streda;SK0211;Orechová Potôň;SK0211501859;48.0165542;17.5320809
556211;Orešany;406;Topoľčany;4;Nitriansky;6717041;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Topoľčany;SK0236;Orešany;SK0236556211;48.5106059;17.9018504
504599;Oreské;206;Skalica;2;Trnavský;3726063;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Skalica;SK0216;Oreské;SK0216504599;48.7451223;17.30289212734036
522848;Oreské;807;Michalovce;8;Košický;11129913;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Michalovce;SK0427;Oreské;SK0427522848;48.85802875;21.91095775453478
526941;Orlov;710;Stará Ľubovňa;7;Prešovský;20771559;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará Ľubovňa;SK041A;Orlov;SK041A526941;49.29804344999999;20.88188638801759
580546;Orovnica;612;Žarnovica;6;Banskobystrický;14245705;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Žarnovica;SK032C;Orovnica;SK032C580546;48.38851675;18.5906180933153
519693;Ortuťová;701;Bardejov;7;Prešovský;6027440;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Ortuťová;SK0411519693;49.2736595;21.46132328409708
509965;Osádka;503;Dolný Kubín;5;Žilinský;4079804;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Dolný Kubín;SK0313;Osádka;SK0313509965;49.18240385;19.39763634596028
520594;Osadné;709;Snina;7;Prešovský;26522656;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Snina;SK0419;Osadné;SK0419520594;49.1401269;22.1510929
509345;Oščadnica;502;Čadca;5;Žilinský;58633861;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Čadca;SK0312;Oščadnica;SK0312509345;49.44232555;18.91362869137161
519707;Osikov;701;Bardejov;7;Prešovský;13873897;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Osikov;SK0411519707;49.1690335;21.24352395619273
514292;Oslany;307;Prievidza;3;Trenčiansky;25152634;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Prievidza;SK0227;Oslany;SK0227514292;48.61598995;18.51569379257744
508845;Osrblie;603;Brezno;6;Banskobystrický;24015912;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Brezno;SK0323;Osrblie;SK0323508845;48.7423776;19.50873349141876
518671;Ostrá Lúka;611;Zvolen;6;Banskobystrický;20269110;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Zvolen;SK032B;Ostrá Lúka;SK032B518671;48.54117979999999;19.05154484281368
505307;Ostratice;305;Partizánske;3;Trenčiansky;11307727;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Partizánske;SK0225;Ostratice;SK0225505307;48.6475783;18.2758695
507385;Ostrov;204;Piešťany;2;Trnavský;9358265;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Piešťany;SK0214;Ostrov;SK0214507385;48.6317959;17.76422501188226
522856;Ostrov;809;Sobrance;8;Košický;11115161;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Sobrance;SK0429;Ostrov;SK0429522856;48.7189204;22.1649564
524981;Ostrovany;708;Sabinov;7;Prešovský;5853286;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Sabinov;SK0418;Ostrovany;SK0418524981;49.0573217;21.11191124410885
517119;Ostrý Grúň;612;Žarnovica;6;Banskobystrický;16705348;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Žarnovica;SK032C;Ostrý Grúň;SK032C517119;48.5803726;18.6782019312837
523771;Osturňa;703;Kežmarok;7;Prešovský;41281717;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Kežmarok;SK0413;Osturňa;SK0413523771;49.3164656;20.23203564277505
504602;Osuské;205;Senica;2;Trnavský;11607310;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Senica;SK0215;Osuské;SK0215504602;48.63937695;17.45119879295782
556289;Otrhánky;301;Bánovce nad Bebravou;3;Trenčiansky;4656097;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Bánovce nad Bebravou;SK0221;Otrhánky;SK0221556289;48.6938138;18.2069992
515256;Otročok;608;Revúca;6;Banskobystrický;5377683;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Revúca;SK0328;Otročok;SK0328515256;48.44709539999999;20.27557421970461
547611;Ovčiarsko;511;Žilina;5;Žilinský;4893946;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Žilina;SK031B;Ovčiarsko;SK031B547611;49.22358364999999;18.66677151628012
524999;Ovčie;707;Prešov;7;Prešovský;3161881;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Prešov;SK0417;Ovčie;SK0417524999;48.9685176;20.98114177922723
515264;Ožďany;609;Rimavská Sobota;6;Banskobystrický;37171820;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Ožďany;SK0329515264;48.3779422;19.9040993423656
511684;Ozdín;607;Poltár;6;Banskobystrický;15217152;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Poltár;SK0327;Ozdín;SK0327511684;48.4781612;19.67890515629584
526061;Pača;808;Rožňava;8;Košický;25578615;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Rožňava;SK0428;Pača;SK0428526061;48.7129122;20.62706956303419
501867;Padáň;201;Dunajská Streda;2;Trnavský;16975824;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Dunajská Streda;SK0211;Padáň;SK0211501867;47.9278705;17.6840771
515272;Padarovce;609;Rimavská Sobota;6;Banskobystrický;12112288;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Padarovce;SK0329515272;48.4548917;20.05714285932496
528951;Pakostov;702;Humenné;7;Prešovský;14377266;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Humenné;SK0412;Pakostov;SK0412528951;49.09658935;21.82503614996591
503452;Palárikovo;404;Nové Zámky;4;Nitriansky;51293906;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Palárikovo;SK0234503452;48.0441287;18.0695797
522864;Palín;807;Michalovce;8;Košický;11114616;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Michalovce;SK0427;Palín;SK0427522864;48.6582107;21.9885471
520616;Palota;705;Medzilaborce;7;Prešovský;24118806;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Medzilaborce;SK0415;Palota;SK0415520616;49.2694785;21.9983666881116
500666;Paňa;403;Nitra;4;Nitriansky;11264532;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Paňa;SK0233500666;48.23193;18.23845938412508
511692;Panické Dravce;606;Lučenec;6;Banskobystrický;11150550;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Lučenec;SK0326;Panické Dravce;SK0326511692;48.28634685;19.64830408050198
521850;Paňovce;806;Košice - okolie;8;Košický;20662712;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice - okolie;SK0426;Paňovce;SK0426521850;48.65293455;21.06534139389151
520624;Papín;702;Humenné;7;Prešovský;25877694;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Humenné;SK0412;Papín;SK0412520624;49.1017597;22.06796655261306
513466;Papradno;306;Považská Bystrica;3;Trenčiansky;55973197;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Považská Bystrica;SK0226;Papradno;SK0226513466;49.2665783;18.37751451149432
528676;Parchovany;811;Trebišov;8;Košický;23138333;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Trebišov;SK042B;Parchovany;SK042B528676;48.7464744;21.73109742407939
520632;Parihuzovce;709;Snina;7;Prešovský;9520001;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Snina;SK0419;Parihuzovce;SK0419520632;49.1106301;22.1932412
509973;Párnica;503;Dolný Kubín;5;Žilinský;51992658;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Dolný Kubín;SK0313;Párnica;SK0313509973;49.21295995;19.15039689312081
